Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701



HOTEL LiVEMAX Shinjuku Kabukicho-Meijidori,160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-3-23 일본,5.1,119588,128130,162298,102504,111046,119588,119588,119588,128130,140858,102504,111046,119588,119588,119588,128130,139958,102504,111046,119588,76627,107902,250916,195246,165208,281605,0,283904,277944,356700,178350



호텔 엠파이어 인 신주쿠(Hotel Empire in Shinjuku),169-0073 도쿄 도 Shinjuku-ku Hyakunin-cho 1-15-33 일본,6.1,91991,107949,0,0,0,73217,73217,91991,107949,0,91991,0,91991,0,0,107949,0,91991,91991,91991,86206,201147,268487,0,161078,164365,257140,76627,268738,0,0



Keio Presso Inn Shinjuku,160-0023 도쿄 도 Shinjuku-ku Nishishinjuku 3-4-5 일본,7.8,172342,209514,0,201066,140239,143619,146998,141929,216273,195854,201066,172342,172342,179101,168963,209514,163894,201066,128412,133481,0,91991,287352,0,160515,234296,224135,224135,201147,153255,270341



HOTEL LiVEMAX Shinjuku EAST,160-0022 도쿄 도 Shinjuku-ku Shinjuku 6-27-49 일본,6.2,111046,128130,148500,102504,111046,119588,119588,119588,128130,149144,102504,111046,119588,119588,119588,128130,136672,102504,111046,119588,143667,93868,241617,281605,89175,133293,168212,423159,0,287352,0



레지던스 호텔 윌 신주쿠 (Residence Hotel Will Shinjuku),160-0004 도쿄 도 Shinjuku-ku Yotsuya 4 Chome 25 일본,6.4,146435,146435,0,146435,146435,146435,146435,146435,146435,0,146435,146435,146435,146435,146435,0,0,146435,146435,146435,300168,222896,112642,0,107902,110104,75095,214173,75095,0,0



COCOSHUKU Shinjuku-Hanazono,160-0022 도쿄 도 1-32-11 Shinjuku Shinjuku-ku 일본,8.1,304134,278789,380167,304134,304134,190084,190084,273720,304134,0,273720,243307,266117,0,0,0,0,0,220497,0,0,195246,0,0,0,0,126985,216472,0,325495,165959



